company,index,ir_url,latest_report_date,latest_report_url,prior_report_date,prior_report_url,revenue_yoy_pct,eps_yoy_pct,op_margin_latest_pct,op_margin_prior_pct,guidance_change,fcf_yoy_pct,net_debt_to_ebitda,data_completeness_pct,score_growth_revenue,score_growth_eps,score_profit_margin_level,score_profit_margin_yoy,score_guidance,score_capital_fcf,score_capital_leverage,score_total,grade,ticker,sector,industry,valuation_style,valuation_model,current_price,actual_multiple,fair_multiple,multiple_ratio,fair_price,valuation_gap_pct,price_assessment
Nvidia,S&P 500,https://investor.nvidia.com/,2025-10-31,https://investor.nvidia.com/news/press-release-details/2025/NVIDIA-Announces-Financial-Results-for-Third-Quarter-Fiscal-2026/default.aspx,2024-10-31,,62.5,66.7,63.2,62.3,unchanged,31.5,0.07,88.9,15.0,15.0,12.0,8.1,12.0,9.2,8.8,80.1,B-,NVDA,Technology,Semiconductors,tech_hypergrowth,PE,182.81,45.24,47.64,0.95,192.51,5.3,Fair
Apple,S&P 500,https://investor.apple.com/,2025-12-31,https://www.apple.com/newsroom/2026/01/apple-reports-first-quarter-results/,2024-12-31,,15.7,18.3,35.4,34.5,unchanged,91.0,0.21,88.9,13.8,10.8,12.0,8.1,12.0,10.0,8.8,75.5,C,AAPL,Technology,Consumer Electronics,tech_quality,PE,255.78,32.38,36.67,0.88,289.69,13.3,Fair
Microsoft,S&P 500,https://www.microsoft.com/en-us/Investor/,2025-12-31,https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q2/press-release-webcast,2024-12-31,,16.7,59.8,47.1,45.5,unchanged,-9.3,0.07,88.9,13.8,15.0,12.0,9.9,12.0,5.0,8.8,76.5,C,MSFT,Technology,Software - Infrastructure,tech_hypergrowth,PE,401.32,25.13,46.13,0.54,736.70,83.6,Undervalued
Amazon,S&P 500,https://ir.aboutamazon.com/,2025-12-31,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Fourth-Quarter-Results/default.aspx,2024-12-31,,13.6,4.8,11.7,11.3,unchanged,-16.1,0.82,88.9,12.3,8.2,6.0,8.1,12.0,3.2,8.8,58.6,F,AMZN,Consumer Cyclical,Internet Retail,tech_hypergrowth,PE,198.79,27.69,38.61,0.72,277.23,39.5,Undervalued
Alphabet,S&P 500,https://abc.xyz/investor/,2025-12-31,https://abc.xyz/investor/news/news-details/2026/Alphabet-Announces-Fourth-Quarter-2025-and-Fiscal-Year-Results-2026-KEvZIMKBLS/default.aspx,2024-12-31,,18.0,31.2,31.6,32.1,unchanged,-1.2,0.09,88.9,13.8,12.8,12.0,5.9,12.0,5.0,8.8,70.2,C-,GOOGL,Communication Services,Internet Content & Information,tech_hypergrowth,PE,305.72,28.26,43.48,0.65,470.50,53.9,Undervalued
Meta,S&P 500,https://investor.atmeta.com/,2025-12-31,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Fourth-Quarter-and-Full-Year-2025-Results/,2024-12-31,,23.8,10.7,41.3,48.3,unchanged,9.3,0.18,88.9,13.8,10.8,12.0,1.6,12.0,6.6,8.8,65.6,D,META,Communication Services,Internet Content & Information,tech_hypergrowth,PE,639.77,27.25,41.55,0.66,975.64,52.5,Undervalued
Broadcom,S&P 500,https://investors.broadcom.com/,2025-10-31,https://www.prnewswire.com/news-releases/broadcom-inc-announces-fourth-quarter-and-fiscal-year-2025-financial-results-and-quarterly-dividend-302639606.html,2024-10-31,,28.2,93.3,41.7,32.9,unchanged,36.2,1.24,88.9,15.0,15.0,12.0,13.0,12.0,10.0,7.2,84.2,B,AVGO,Technology,Semiconductors,tech_hypergrowth,PE,325.17,68.03,49.36,1.38,235.96,-27.4,Overvalued
Tesla,S&P 500,https://ir.tesla.com/,2025-12-31,https://ir.tesla.com/press-release/tesla-releases-fourth-quarter-and-full-year-2025-financial-results,2024-12-31,,-3.1,-63.6,5.7,6.2,unchanged,-30.2,1.26,88.9,4.5,0.0,3.6,5.9,12.0,1.5,7.2,34.6,F,TSLA,Consumer Cyclical,Auto Manufacturers,broad_market,PE,417.44,382.97,16.00,23.94,17.44,-95.8,Overvalued
Berkshire Hathaway,S&P 500,https://www.berkshirehathaway.com/,2025-09-30,https://www.sec.gov/Archives/edgar/data/0001067983/000119312525261548/brka-20250930.htm,2024-09-30,,,17.2,,,unchanged,-42.4,,44.4,,10.8,,,12.0,1.5,,48.6,F,BRK-B,Financial Services,Insurance - Diversified,financials,PE,497.55,15.90,19.64,0.81,614.61,23.5,Undervalued
Walmart,S&P 500,https://stock.walmart.com/,2025-10-31,https://corporate.walmart.com/news/2025/11/20/walmart-releases-q3-fy26-earnings,2024-10-31,,5.8,35.1,3.7,4.0,unchanged,405.9,0.72,88.9,10.5,14.1,1.8,5.9,12.0,10.0,8.8,63.0,D,WMT,Consumer Defensive,Discount Stores,broad_market,PE,133.89,46.65,23.38,2.00,67.10,-49.9,Overvalued
